       MD              Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace      
       ft       
  11832.50000000 UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF 
  11854.00000000       0.03489256       0.03482273       0.03486685       0.03470775       0.03433567       0.03382007       0.03326162       0.03300320       0.03274340       0.03247516       0.03224989       0.03214238       0.03203319       0.03192504       0.03186129       0.03182132 
  11854.50000000       0.03485682       0.03479517       0.03484743       0.03469943       0.03433800       0.03383218       0.03328242       0.03302693       0.03277088       0.03250625       0.03228397       0.03217835       0.03207103       0.03196485       0.03190239       0.03186325 
  11855.00000000       0.03482110       0.03476762       0.03482802       0.03469111       0.03434033       0.03384427       0.03330320       0.03305064       0.03279835       0.03253732       0.03231804       0.03221430       0.03210886       0.03200463       0.03194348       0.03190517 
  11855.50000000       0.03478537       0.03474007       0.03480860       0.03468278       0.03434264       0.03385637       0.03332397       0.03307435       0.03282581       0.03256839       0.03235210       0.03225025       0.03214669       0.03204442       0.03198456       0.03194708 
  11856.00000000       0.03474965       0.03471252       0.03478918       0.03467445       0.03434496       0.03386846       0.03334475       0.03309806       0.03285327       0.03259946       0.03238617       0.03228620       0.03218452       0.03208420       0.03202565       0.03198900 
  11856.50000000       0.03471393       0.03468496       0.03476977       0.03466613       0.03434728       0.03388055       0.03336553       0.03312176       0.03288073       0.03263053       0.03242024       0.03232215       0.03222235       0.03212399       0.03206674       0.03203092 
  11857.00000000       0.03467821       0.03465742       0.03475035       0.03465780       0.03434960       0.03389264       0.03338630       0.03314548       0.03290820       0.03266160       0.03245430       0.03235810       0.03226018       0.03216378       0.03210782       0.03207283 
  11857.50000000       0.03464248       0.03462986       0.03473093       0.03464947       0.03435192       0.03390473       0.03340707       0.03316918       0.03293566       0.03269267       0.03248837       0.03239406       0.03229801       0.03220356       0.03214891       0.03211475 
  11858.00000000       0.03460676       0.03460231       0.03471151       0.03464115       0.03435423       0.03391682       0.03342785       0.03319289       0.03296312       0.03272374       0.03252244       0.03243000       0.03233584       0.03224334       0.03219000       0.03215667 
  11858.50000000       0.03457104       0.03457477       0.03469210       0.03463282       0.03435655       0.03392890       0.03344861       0.03321660       0.03299058       0.03275480       0.03255650       0.03246595       0.03237367       0.03228313       0.03223108       0.03219859 
  11859.00000000       0.03453531       0.03454722       0.03467268       0.03462449       0.03435887       0.03394099       0.03346939       0.03324031       0.03301805       0.03278587       0.03259057       0.03250190       0.03241150       0.03232292       0.03227217       0.03224050 
  11859.50000000       0.03449959       0.03451966       0.03465327       0.03461616       0.03436118       0.03395307       0.03349015       0.03326402       0.03304550       0.03281694       0.03262464       0.03253786       0.03244933       0.03236270       0.03231325       0.03228242 
