       MD              Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace      
       ft       
  11819.00000000       0.05891871       0.05879318       0.05866762       0.05854215       0.05847147       0.05849033       0.05850920       0.05852880       0.05855501       0.05858394       0.05861325       0.05864182       0.05864762       0.05865349       0.05865936       0.05866148 
  11819.50000000       0.05891786       0.05879258       0.05866728       0.05854207       0.05847150       0.05849021       0.05850893       0.05852838       0.05855450       0.05858337       0.05861262       0.05864112       0.05864694       0.05865281       0.05865869       0.05866082 
  11820.00000000       0.05891700       0.05879198       0.05866693       0.05854199       0.05847153       0.05849009       0.05850865       0.05852795       0.05855399       0.05858279       0.05861199       0.05864044       0.05864625       0.05865213       0.05865801       0.05866016 
  11820.50000000       0.05891615       0.05879138       0.05866659       0.05854191       0.05847156       0.05848996       0.05850838       0.05852753       0.05855348       0.05858222       0.05861136       0.05863975       0.05864556       0.05865145       0.05865734       0.05865949 
  11821.00000000       0.05891529       0.05879078       0.05866625       0.05854182       0.05847159       0.05848984       0.05850810       0.05852711       0.05855297       0.05858165       0.05861072       0.05863905       0.05864488       0.05865077       0.05865666       0.05865883 
  11821.50000000       0.05891444       0.05879018       0.05866591       0.05854174       0.05847162       0.05848972       0.05850783       0.05852669       0.05855246       0.05858108       0.05861009       0.05863836       0.05864419       0.05865009       0.05865599       0.05865817 
  11822.00000000       0.05891358       0.05878958       0.05866557       0.05854166       0.05847165       0.05848959       0.05850755       0.05852627       0.05855195       0.05858050       0.05860946       0.05863767       0.05864350       0.05864941       0.05865531       0.05865750 
  11822.50000000       0.05891273       0.05878898       0.05866522       0.05854158       0.05847168       0.05848947       0.05850727       0.05852584       0.05855144       0.05857993       0.05860882       0.05863698       0.05864282       0.05864873       0.05865464       0.05865684 
  11823.00000000       0.05891187       0.05878838       0.05866488       0.05854150       0.05847171       0.05848935       0.05850700       0.05852542       0.05855093       0.05857936       0.05860819       0.05863629       0.05864213       0.05864805       0.05865396       0.05865617 
  11823.50000000       0.05891102       0.05878778       0.05866454       0.05854141       0.05847174       0.05848923       0.05850672       0.05852500       0.05855042       0.05857878       0.05860756       0.05863560       0.05864144       0.05864737       0.05865329       0.05865551 
  11824.00000000       0.05891016       0.05878718       0.05866420       0.05854133       0.05847178       0.05848910       0.05850645       0.05852458       0.05854991       0.05857821       0.05860693       0.05863491       0.05864076       0.05864669       0.05865261       0.05865485 
  11824.50000000       0.05890931       0.05878658       0.05866386       0.05854125       0.05847181       0.05848898       0.05850617       0.05852415       0.05854940       0.05857764       0.05860629       0.05863422       0.05864007       0.05864600       0.05865194       0.05865419 
  11825.00000000       0.05890845       0.05878598       0.05866352       0.05854117       0.05847184       0.05848886       0.05850590       0.05852373       0.05854889       0.05857706       0.05860566       0.05863353       0.05863938       0.05864533       0.05865126       0.05865352 
  11825.50000000       0.05890729       0.05878523       0.05866318       0.05854124       0.05847211       0.05848895       0.05850582       0.05852348       0.05854852       0.05857660       0.05860510       0.05863288       0.05863872       0.05864466       0.05865059       0.05865285 
  11826.00000000       0.05890149       0.05878218       0.05866287       0.05854367       0.05847605       0.05849237       0.05850871       0.05852584       0.05855028       0.05857772       0.05860559       0.05863275       0.05863841       0.05864417       0.05864992       0.05865205 
  11826.50000000       0.05889570       0.05877912       0.05866255       0.05854610       0.05847999       0.05849578       0.05851159       0.05852820       0.05855204       0.05857885       0.05860609       0.05863263       0.05863811       0.05864368       0.05864924       0.05865126 
  11827.00000000       0.05888990       0.05877607       0.05866224       0.05854852       0.05848393       0.05849919       0.05851448       0.05853055       0.05855380       0.05857998       0.05860658       0.05863251       0.05863780       0.05864318       0.05864857       0.05865046 
  11827.50000000       0.05888411       0.05877301       0.05866193       0.05855095       0.05848787       0.05850260       0.05851736       0.05853292       0.05855555       0.05858111       0.05860708       0.05863239       0.05863749       0.05864270       0.05864789       0.05864966 
  11828.00000000       0.05887831       0.05876996       0.05866162       0.05855338       0.05849181       0.05850602       0.05852025       0.05853527       0.05855731       0.05858223       0.05860757       0.05863227       0.05863719       0.05864220       0.05864722       0.05864887 
  11828.50000000       0.05887251       0.05876690       0.05866130       0.05855581       0.05849575       0.05850943       0.05852314       0.05853764       0.05855907       0.05858336       0.05860807       0.05863214       0.05863688       0.05864171       0.05864654       0.05864807 
  11829.00000000       0.05886671       0.05876385       0.05866099       0.05855824       0.05849969       0.05851285       0.05852602       0.05853999       0.05856083       0.05858449       0.05860857       0.05863202       0.05863657       0.05864123       0.05864587       0.05864727 
  11829.50000000       0.05886091       0.05876080       0.05866068       0.05856067       0.05850364       0.05851626       0.05852891       0.05854235       0.05856259       0.05858561       0.05860906       0.05863190       0.05863627       0.05864073       0.05864520       0.05864647 
  11830.00000000       0.05885511       0.05875774       0.05866037       0.05856310       0.05850758       0.05851968       0.05853179       0.05854471       0.05856435       0.05858674       0.05860956       0.05863178       0.05863596       0.05864024       0.05864452       0.05864568 
  11830.50000000       0.05884931       0.05875469       0.05866006       0.05856553       0.05851152       0.05852309       0.05853468       0.05854707       0.05856611       0.05858787       0.05861005       0.05863165       0.05863566       0.05863975       0.05864385       0.05864488 
  11831.00000000       0.05884352       0.05875163       0.05865975       0.05856796       0.05851546       0.05852650       0.05853757       0.05854943       0.05856787       0.05858900       0.05861055       0.05863154       0.05863535       0.05863926       0.05864317       0.05864409 
  11831.50000000       0.05883772       0.05874858       0.05865943       0.05857039       0.05851940       0.05852992       0.05854046       0.05855179       0.05856963       0.05859013       0.05861104       0.05863141       0.05863504       0.05863877       0.05864250       0.05864329 
  11832.00000000       0.05883192       0.05874552       0.05865913       0.05857282       0.05852335       0.05853333       0.05854334       0.05855415       0.05857139       0.05859125       0.05861154       0.05863129       0.05863474       0.05863828       0.05864182       0.05864249 
